期号  	开奖日期	开奖号码
2021112	2021-09-27(一)	18 21 22 23 35 11 12 
2021111	2021-09-25(六)	07 08 15 19 28 08 09 
2021110	2021-09-22(三)	11 14 29 31 32 11 12 
2021109	2021-09-20(一)	03 04 07 27 31 06 09 
2021108	2021-09-18(六)	05 19 22 26 35 02 06 
2021107	2021-09-15(三)	03 05 13 20 25 07 11 
2021106	2021-09-13(一)	02 13 14 32 34 02 12 
2021105	2021-09-11(六)	07 10 11 17 18 04 09 
2021104	2021-09-08(三)	23 25 26 30 33 03 11 
2021103	2021-09-06(一)	04 10 23 30 31 05 11 
2021102	2021-09-04(六)	02 08 11 16 23 02 07 
2021101	2021-09-01(三)	13 18 19 27 32 06 11 
2021100	2021-08-30(一)	07 11 23 26 28 02 07 
2021099	2021-08-28(六)	15 19 27 28 30 03 04 
2021098	2021-08-25(三)	02 07 21 27 33 07 09 
2021097	2021-08-23(一)	11 26 30 31 33 03 10 
2021096	2021-08-21(六)	07 08 10 20 21 01 05 
2021095	2021-08-18(三)	10 15 19 20 30 11 12 
2021094	2021-08-16(一)	05 06 24 27 33 05 12 
2021093	2021-08-14(六)	20 25 27 28 31 08 11 
2021092	2021-08-11(三)	12 14 27 28 34 03 07 
2021091	2021-08-09(一)	01 04 10 21 29 03 05 
2021090	2021-08-07(六)	06 07 19 26 32 06 12 
2021089	2021-08-04(三)	01 17 24 28 35 10 12 
2021088	2021-08-02(一)	02 14 31 34 35 01 07 
2021087	2021-07-31(六)	10 14 15 25 28 03 10 
2021086	2021-07-28(三)	02 03 07 16 17 06 10 
2021085	2021-07-26(一)	01 12 15 26 35 10 11 
2021084	2021-07-24(六)	02 10 14 30 33 06 09 
2021083	2021-07-21(三)	07 09 11 26 35 01 08 
2021082	2021-07-19(一)	01 14 22 29 33 03 10 
2021081	2021-07-17(六)	05 13 24 29 35 07 08 
2021080	2021-07-14(三)	15 16 20 29 30 06 10 
2021079	2021-07-12(一)	06 14 19 26 33 08 11 
2021078	2021-07-10(六)	02 08 17 19 25 01 05 
2021077	2021-07-07(三)	02 06 09 21 25 06 08 
2021076	2021-07-05(一)	06 13 22 25 26 02 04 
2021075	2021-07-03(六)	06 14 15 17 20 01 05 
2021074	2021-06-30(三)	11 14 18 20 25 03 07 
2021073	2021-06-28(一)	08 12 14 20 24 06 10 
2021072	2021-06-26(六)	02 03 15 22 26 03 11 
2021071	2021-06-23(三)	08 11 16 29 35 01 04 
2021070	2021-06-21(一)	03 20 21 22 24 06 12 
2021069	2021-06-19(六)	01 03 24 32 33 04 06 
